1	2	1
3	4	1
5	6	2
7	8	2
5	6	3
9	10	4
11	12	4
13	14	4
15	16	4
17	15	4
15	18	5
19	20	5
5	6	5
9	21	5
15	22	5
23	5	5
9	24	5
25	26	5
7	27	6
19	28	6
29	13	6
15	30	6
31	5	8
32	6	8
33	23	8
5	6	9
9	10	9
15	34	9
35	22	10
5	6	10
22	36	10
30	22	11
11	8	11
34	37	13
9	10	13
24	13	14
29	13	14
38	39	14
9	18	14
5	6	15
40	41	15
40	12	15
23	5	16
11	27	16
17	8	16
19	13	17
42	19	18
29	36	19
30	43	19
15	12	20
1	2	21
1	36	21
15	21	21
44	45	22
35	22	22
44	37	22
5	6	22
30	4	22
44	46	22
47	37	22
38	22	22
44	4	22
7	27	25
42	13	25
35	4	28
48	14	29
7	8	29
19	14	29
7	27	30
34	16	30
5	6	30
27	19	30
19	1	30
49	48	30
1	2	31
15	18	31
19	14	32
34	41	32
21	10	32
29	36	33
34	30	33
15	14	33
15	16	34
22	18	36
8	50	38
20	10	38
5	6	38
11	10	38
24	2	40
3	45	40
51	36	40
42	13	41
34	38	41
27	37	41
9	41	42
7	50	42
35	9	42
35	41	43
34	29	43
8	45	43
35	4	43
30	22	43
34	18	43
18	16	43
38	18	43
29	10	43
43	12	43
34	38	43
3	4	43
13	4	43
52	53	43
34	30	44
49	21	44
21	18	44
7	37	44
43	22	44
24	41	44
54	41	44
13	22	44
7	19	45
15	36	45
45	22	45
55	19	45
4	14	45
28	4	45
55	26	46
9	2	46
7	26	46
15	9	47
49	46	47
56	21	47
34	36	48
11	13	48
49	34	48
57	28	49
5	6	49
40	12	49
7	13	49
17	30	49
25	26	49
5	6	50
30	11	50
15	35	50
49	26	50
52	53	51
58	50	51
34	16	52
15	7	52
42	22	53
49	24	53
22	20	53
30	22	53
48	10	53
42	48	53
15	38	53
32	6	53
52	59	54
34	37	54
35	2	54
35	38	54
35	41	54
9	36	55
35	14	55
9	40	55
7	26	55
44	43	56
44	46	56
7	48	56
55	15	56
30	7	56
7	26	56
43	48	56
23	5	57
34	38	57
34	18	57
60	59	58
23	61	59
31	61	59
62	63	59
64	65	60
19	40	60
40	1	60
66	67	60
46	39	60
66	68	60
43	39	60
33	53	61
69	70	61
8	28	61
8	50	62
